iter	Passed	Remaining
402	13693	3295
403	13725	3261
404	13758	3227
405	13804	3196
406	13840	3162
407	13882	3130
408	13921	3097
409	13954	3063
410	13992	3030
411	14031	2997
412	14063	2962
413	14091	2927
414	14121	2892
415	14149	2857
416	14175	2821
417	14203	2786
418	14229	2750
419	14258	2715
420	14289	2681
421	14318	2646
422	14353	2612
423	14387	2578
424	14422	2545
425	14451	2510
426	14486	2476
427	14529	2444
428	14558	2409
429	14591	2375
430	14622	2340
431	14653	2306
432	14682	2271
433	14716	2238
434	14744	2203
435	14777	2169
436	14813	2135
437	14850	2102
438	14879	2067
439	14909	2033
440	14939	1998
441	14968	1964
442	14998	1929
443	15034	1896
444	15079	1863
445	15123	1831
446	15164	1797
447	15208	1765
448	15243	1731
449	15274	1697
450	15303	1662
451	15334	1628
452	15363	1594
453	15394	1559
454	15422	1525
455	15453	1491
456	15482	1456
457	15515	1422
458	15547	1388
459	15586	1355
460	15624	1321
461	15660	1288
462	15691	1253
463	15722	1219
464	15755	1185
465	15783	1151
466	15814	1117
467	15842	1083
468	15872	1049
469	15905	1015
470	15936	981
471	15970	947
472	16004	913
473	16032	879
474	16061	845
475	16095	811
476	16126	777
477	16157	743
478	16193	709
479	16220	675
480	16252	642
481	16290	608
482	16320	574
483	16350	540
484	16384	506
485	16422	473
486	16452	439
487	16482	405
488	16512	371
489	16542	337
490	16574	303
491	16606	270
492	16642	236
493	16671	202
494	16774	169
495	16836	135
496	16864	101
497	16891	67
498	16921	33
499	16955	0
