iter	MultiClass
397	0.1639806482
398	0.1636991734
399	0.1636055988
400	0.1630576333
401	0.1625684599
402	0.1621926456
403	0.1616278884
404	0.1611375398
405	0.1607391257
406	0.1604969669
407	0.1596518512
408	0.1592107501
409	0.158986721
410	0.1584920828
411	0.157603322
412	0.1572697994
413	0.1568324117
414	0.1566638033
415	0.1562446605
416	0.1558928078
417	0.155405249
418	0.1551126876
419	0.1546269936
420	0.1541336254
421	0.1535573901
422	0.1532428148
423	0.152857739
424	0.1527039652
425	0.1522441528
426	0.1519728678
427	0.1516385725
428	0.1509931046
429	0.150402742
430	0.1498135365
431	0.1494866144
432	0.1493101236
433	0.148891836
434	0.1485204674
435	0.1482977774
436	0.1478333737
437	0.1474248854
438	0.1471531312
439	0.1466092322
440	0.1459869105
441	0.1455606973
442	0.1454163958
443	0.1449723
444	0.1447012404
445	0.1442565941
446	0.143870683
447	0.1432793642
448	0.1428549345
449	0.1424849503
450	0.1422570236
451	0.1419967885
452	0.141642795
453	0.1413529966
454	0.1411891475
455	0.1408426708
456	0.1405648253
457	0.1400532828
458	0.1397794984
459	0.1393790732
460	0.1392575352
461	0.1389240147
462	0.1384736811
463	0.1380157396
464	0.1378160147
465	0.1376740795
466	0.1372194277
467	0.1369601767
468	0.1366130741
469	0.1361716859
470	0.1359187491
471	0.1355152608
472	0.1353383503
473	0.1351091265
474	0.1344814457
475	0.1338981421
476	0.13328266
477	0.1331161285
478	0.132770485
479	0.1321475944
480	0.1320415136
481	0.1315626399
482	0.1312328346
483	0.131017534
484	0.1308027217
485	0.1304518399
486	0.1300199417
487	0.1295979977
488	0.129386861
489	0.129174466
490	0.1289016574
491	0.1284342385
492	0.1283029193
493	0.1279752613
494	0.1277540664
495	0.1274687082
496	0.1270597103
497	0.1268022691
498	0.1267071189
499	0.1263263107
